src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.2.15,239.255.255.250,57557,1900,17,2024-05-20 01:59:32,3.01058,358.7348617209973,1.660809545004617,1.660809545004617,0.0,5,0,1080,0,216,216,216.0,0.0,0,0,0,0.0,216,216,216.0,0.0,0.0,100,0,20,5,0.752645,1.008758,0.0,0.4345518144116993,3.01058,1.008758,0.0,0.752645,0.4345518144116993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.0,0,0,5,0,1080,0
10.0.2.15,192.168.10.1,55270,53,17,2024-05-20 01:59:32,0.0,0,0,0,0,2,0,178,0,89,89,89.0,0.0,0,0,0,0.0,89,89,89.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,0,0,2,0,178,0
10.0.2.15,192.168.10.1,61554,53,17,2024-05-20 01:59:32,0.0,0,0,0,0,2,0,178,0,89,89,89.0,0.0,0,0,0,0.0,89,89,89.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,0,0,2,0,178,0
10.0.2.15,192.168.10.1,57230,53,17,2024-05-20 01:59:32,0.0,0,0,0,0,2,0,168,0,84,84,84.0,0.0,0,0,0,0.0,84,84,84.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,0,0,2,0,168,0
10.0.2.15,192.168.10.1,53736,53,17,2024-05-20 01:59:32,0.0,0,0,0,0,2,0,168,0,84,84,84.0,0.0,0,0,0,0.0,84,84,84.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,0,0,2,0,168,0
10.0.2.15,192.168.10.1,50502,53,17,2024-05-20 01:59:32,0.0,0,0,0,0,2,0,156,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,2,0,156,0
10.0.2.15,192.168.10.1,56892,53,17,2024-05-20 01:59:32,0.0,0,0,0,0,2,0,156,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,2,0,156,0
10.0.2.15,192.168.10.1,51209,53,17,2024-05-20 01:59:32,0.0,0,0,0,0,2,0,158,0,79,79,79.0,0.0,0,0,0,0.0,79,79,79.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,0,0,2,0,158,0
10.0.2.15,192.168.10.1,61823,53,17,2024-05-20 01:59:32,0.0,0,0,0,0,2,0,158,0,79,79,79.0,0.0,0,0,0,0.0,79,79,79.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,0,0,2,0,158,0
10.0.2.15,192.168.10.2,56278,53,17,2024-05-20 01:59:33,0.0,0,0,0,0,2,0,178,0,89,89,89.0,0.0,0,0,0,0.0,89,89,89.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,0,0,2,0,178,0
10.0.2.15,192.168.10.2,50488,53,17,2024-05-20 01:59:33,0.0,0,0,0,0,2,0,178,0,89,89,89.0,0.0,0,0,0,0.0,89,89,89.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,0,0,2,0,178,0
10.0.2.15,192.168.10.2,60304,53,17,2024-05-20 01:59:33,0.0,0,0,0,0,2,0,168,0,84,84,84.0,0.0,0,0,0,0.0,84,84,84.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,0,0,2,0,168,0
10.0.2.15,192.168.10.2,58412,53,17,2024-05-20 01:59:33,0.0,0,0,0,0,2,0,168,0,84,84,84.0,0.0,0,0,0,0.0,84,84,84.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,0,0,2,0,168,0
10.0.2.15,192.168.10.2,56862,53,17,2024-05-20 01:59:33,0.0,0,0,0,0,2,0,156,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,2,0,156,0
10.0.2.15,192.168.10.2,63977,53,17,2024-05-20 01:59:33,0.0,0,0,0,0,2,0,156,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,2,0,156,0
10.0.2.15,192.168.10.2,54992,53,17,2024-05-20 01:59:33,0.0,0,0,0,0,2,0,158,0,79,79,79.0,0.0,0,0,0,0.0,79,79,79.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,0,0,2,0,158,0
10.0.2.15,192.168.10.2,56814,53,17,2024-05-20 01:59:33,0.0,0,0,0,0,2,0,158,0,79,79,79.0,0.0,0,0,0,0.0,79,79,79.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,0,0,2,0,158,0
10.0.2.15,192.168.160.42,61843,53,17,2024-05-20 01:59:34,0.02017,14030.738720872583,148.7357461576599,99.15716410510659,49.578582052553294,2,1,178,105,89,89,89.0,0.0,105,105,105.0,0.0,105,89,94.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.010085,0.02017,0.0,0.010085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,94.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,105.0,0,2,1,178,105
10.0.2.15,192.168.160.42,62269,53,17,2024-05-20 01:59:34,0.031561,10265.834415893032,95.05402236937994,63.36934824625329,31.684674123126644,2,1,178,146,89,89,89.0,0.0,146,146,146.0,0.0,146,89,108.0,26.870057685088806,722.0,40,20,20,2,0.0157805,0.031561,0.0,0.0157805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,146.0,0,2,1,178,146
10.0.2.15,192.168.160.42,51284,53,17,2024-05-20 01:59:34,0.018159,15914.973291480806,165.2073352056831,110.13822347045542,55.06911173522771,2,1,168,121,84,84,84.0,0.0,121,121,121.0,0.0,121,84,96.33333333333333,17.441967269268172,304.22222222222223,40,20,20,2,0.0090795,0.018159,0.0,0.0090795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,96.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,121.0,0,2,1,168,121
10.0.2.15,192.168.160.42,65043,53,17,2024-05-20 01:59:34,0.018561,17402.079629330314,161.62922256343947,107.75281504229298,53.87640752114649,2,1,168,155,84,84,84.0,0.0,155,155,155.0,0.0,155,84,107.66666666666667,33.46972097616325,1120.2222222222222,40,20,20,2,0.0092805,0.018561,0.0,0.0092805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,107.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,155.0,0,2,1,168,155
10.0.2.15,192.168.160.42,57068,53,17,2024-05-20 01:59:34,0.015847,24862.75004732757,189.31027954817947,126.20685303211964,63.10342651605982,2,1,156,238,78,78,78.0,0.0,238,238,238.0,0.0,238,78,131.33333333333334,75.42472332656506,5688.888888888888,40,20,20,2,0.0079235,0.015847,0.0,0.0079235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,131.33333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,238.0,0,2,1,156,238
10.0.2.15,192.168.160.42,62262,53,17,2024-05-20 01:59:34,0.015274,19051.983763257824,196.41220374492602,130.941469163284,65.470734581642,2,1,156,135,78,78,78.0,0.0,135,135,135.0,0.0,135,78,97.0,26.870057685088806,722.0,40,20,20,2,0.007637,0.015274,0.0,0.007637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,135.0,0,2,1,156,135
10.0.2.15,192.168.160.42,56056,53,17,2024-05-20 01:59:34,0.014679,17235.506505892772,204.37359493153485,136.2490632876899,68.12453164384495,2,1,158,95,79,79,79.0,0.0,95,95,95.0,0.0,95,79,84.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.0073395,0.014679,0.0,0.0073395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,84.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,95.0,0,2,1,158,95
10.0.2.15,192.168.160.42,59769,53,17,2024-05-20 01:59:34,0.014494,19801.297088450392,206.98219953084035,137.98813302056024,68.99406651028012,2,1,158,129,79,79,79.0,0.0,129,129,129.0,0.0,129,79,95.66666666666667,23.570226039551585,555.5555555555555,40,20,20,2,0.007247,0.014494,0.0,0.007247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,95.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,129.0,0,2,1,158,129
10.0.2.15,142.250.199.3,49698,443,6,2024-05-20 01:59:34,2.057636,6375.277259923524,17.98180047394194,7.77591371846138,10.205886755480561,16,21,3275,9843,1857,54,204.6875,434.83584815853214,1514,60,468.7142857142857,589.3030704514761,1857,54,354.5405405405405,544.0389291811503,295978.35646457266,320,420,20,6,0.057156555555555544,1.370903,0.0,0.2343725786909529,2.057636,1.374963,0.0,0.13717573333333333,0.3487987188182637,2.042719,1.371246,0.0,0.10213594999999998,0.31017454645690623,6,7,0,0,2,3,0,13,35,0,0,1.3125,354.5405405405405,64240,65535,0,0,0,0,0,0,0,0,0,0,3839.5,6.5,0,13566.65842196388820183032402,204.6875,468.7142857142857,0,16,21,3275,9843
10.0.2.15,216.58.200.14,56069,443,17,2024-05-20 01:59:34,1.132127,153877.61267066325,182.84167765630534,58.297346499111846,124.54433115719348,66,141,12443,161766,1292,73,188.53030303030303,349.197834858129,1292,67,1147.276595744681,348.8673284452073,1292,67,841.5893719806763,566.9336715228413,321413.78790636896,1320,2820,20,66,0.005495733009708738,0.721235,-6e-06,0.05026757389426231,1.116759,0.721235,0.0,0.017180907692307693,0.08898281251424527,1.1060510000000001,0.758649,0.0,0.007900364285714286,0.06399182018510656,0,0,0,0,0,0,0,0,0,0,0,2.1363636363636362,841.5893719806763,0,0,0,0,0,0,0,0,0,0,609.3333333333334,6.333333333333333,12408.818181818182,10.818181818181818,4969.977583443558264694807216,1420378.984172572035088814660,188.53030303030303,1147.276595744681,0,66,141,12443,161766
10.0.2.15,142.251.222.234,49699,443,6,2024-05-20 01:59:34,2.051001,8075.568953891296,24.378340137328067,10.72646966042435,13.651870476903717,22,28,4667,11896,1878,54,212.13636363636363,382.4942418407398,1514,60,424.85714285714283,532.2110694536328,1878,54,331.26,483.8818785612869,234141.6724,440,560,20,11,0.04185716326530613,1.066962,0.0,0.16687438856172893,2.051001,1.069414,0.0,0.09766671428571427,0.2447964918815983,2.035628,1.067283,0.0,0.07539362962962963,0.21931338703277728,11,10,0,0,2,3,0,21,48,0,0,1.2727272727272727,331.26,64240,65535,0,0,0,0,0,0,0,0,0,0,4388.0,6.5,0,67797.13391788018077175634439,212.13636363636363,424.85714285714283,0,22,28,4667,11896
10.0.2.15,142.251.10.84,49700,443,6,2024-05-20 01:59:34,2.049568,7798.228699901639,17.564677044138083,7.318615435057534,10.246061609080549,15,21,5287,10696,2510,54,352.46666666666664,716.6066207403395,1514,60,509.3333333333333,626.485688152824,2510,54,443.97222222222223,669.9991495065544,448898.86033950624,300,420,20,7,0.05855908571428571,1.701118,0.0,0.2827656616017047,2.0495680000000003,1.701629,0.0,0.14639771428571427,0.43263884111435896,2.020636,1.701432,0.0,0.1010318,0.36842921360264036,7,6,0,0,2,3,0,13,34,0,0,1.4,443.97222222222223,64240,65535,0,0,0,0,0,0,0,0,0,0,4254.5,5.5,0,83802.78915852505515285219036,352.46666666666664,509.3333333333333,0,15,21,5287,10696
10.0.2.15,216.58.200.14,49701,443,6,2024-05-20 01:59:34,2.048464,9577.419959540417,20.014996602332282,8.78707167907271,11.227924923259573,18,23,5829,13790,2497,54,323.8333333333333,664.3157925431415,1514,60,599.5652173913044,609.5538515345505,2497,54,478.5121951219512,648.7729928046808,420906.39619274245,360,460,20,7,0.0512116,1.698628,0.0,0.2646976190918422,2.048464,1.698934,0.0,0.12049788235294118,0.3957793778857524,2.028285,1.699218,0.0,0.09219477272727272,0.35183137517720714,7,8,0,0,2,3,0,15,39,0,0,1.2777777777777777,478.5121951219512,64240,65535,0,0,0,0,0,0,0,0,0,0,5761.0,7.0,0,104153.6723163841807909604520,323.8333333333333,599.5652173913044,0,18,23,5829,13790
10.0.2.15,192.168.160.42,53247,53,17,2024-05-20 01:59:34,0.009965,45258.40441545409,301.0536879076769,200.70245860511793,100.35122930255896,2,1,194,257,97,97,97.0,0.0,257,257,257.0,0.0,257,97,150.33333333333334,75.42472332656506,5688.888888888888,40,20,20,2,0.0049825,0.009965,0.0,0.0049825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,150.33333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0,257.0,0,2,1,194,257
10.0.2.15,192.168.160.42,57059,53,17,2024-05-20 01:59:34,0.018227,19092.555000822955,164.5909913864048,109.72732759093653,54.86366379546826,2,1,194,154,97,97,97.0,0.0,154,154,154.0,0.0,154,97,116.0,26.870057685088806,722.0,40,20,20,2,0.0091135,0.018227,0.0,0.0091135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0,154.0,0,2,1,194,154
10.0.2.15,172.217.166.138,54844,443,17,2024-05-20 01:59:34,0.286083,60804.03239619272,108.36016121195598,55.9278251416547,52.43233607030128,16,15,7300,10095,1292,74,456.25,550.6017730628917,1292,64,673.0,555.8317491231796,1292,64,561.1290322580645,563.6445769783721,317695.209157128,320,300,20,16,0.0095361,0.059825,0.0,0.014858091282418032,0.248857,0.134191,0.0,0.016590466666666668,0.03306407423345701,0.263554,0.078552,0.0,0.018825285714285715,0.025269873634226902,0,0,0,0,0,0,0,0,0,0,0,0.9375,561.1290322580645,0,0,0,0,0,0,0,0,0,0,272.0,5.0,551.0,4.0,5173.463177115033475349969568,7320.994379708488898927759988,456.25,673.0,0,16,15,7300,10095
10.0.2.15,192.168.10.1,59514,53,17,2024-05-20 01:59:35,0.0,0,0,0,0,2,0,214,0,107,107,107.0,0.0,0,0,0,0.0,107,107,107.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.0,0,0,2,0,214,0
10.0.2.15,192.168.10.1,52232,53,17,2024-05-20 01:59:35,0.0,0,0,0,0,2,0,214,0,107,107,107.0,0.0,0,0,0,0.0,107,107,107.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.0,0,0,2,0,214,0
10.0.2.15,192.168.160.42,49978,53,17,2024-05-20 01:59:35,0.011242,21170.610211706102,266.8564312399929,177.90428749332858,88.95214374666429,2,1,148,90,74,74,74.0,0.0,90,90,90.0,0.0,90,74,79.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.005621,0.011242,0.0,0.005621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,79.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,90.0,0,2,1,148,90
10.0.2.15,192.168.160.42,56483,53,17,2024-05-20 01:59:35,0.0,0,0,0,0,2,0,148,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,2,0,148,0
10.0.2.15,216.58.200.4,52411,443,17,2024-05-20 01:59:35,0.135159,117113.91768213734,170.16994798718545,88.78432068896633,81.38562729821913,12,11,5876,9953,1292,75,489.6666666666667,567.5077581456976,1292,66,904.8181818181819,507.6705836343123,1292,66,688.2173913043479,578.1886224890658,334302.08317580336,240,220,20,12,0.006143590909090909,0.026506,0.0,0.008328437852317645,0.108653,0.055939,0.0,0.009877545454545457,0.016257237920181536,0.111097,0.048545,0.0,0.0111097,0.015595260152046196,0,0,0,0,0,0,0,0,0,0,0,0.9166666666666666,688.2173913043479,0,0,0,0,0,0,0,0,0,0,227.0,4.0,7500.0,6.0,74523.96585686145764937623112,875758.9911256422232601588043,489.6666666666667,904.8181818181819,0,12,11,5876,9953
10.0.2.15,142.251.222.234,50030,443,17,2024-05-20 01:59:35,0.10857,136741.2729114857,165.79165515335728,73.68518006815879,92.10647508519848,8,10,5612,9234,1292,73,701.5,591.8314793925717,1292,66,923.4,507.1507073839097,1292,66,824.7777777777778,557.4234930618586,310720.9506172839,160,200,20,8,0.006386470588235294,0.023618,0.0,0.008322960602472621,0.085488,0.037965,0.0,0.01221257142857143,0.013213703069780496,0.082309,0.03976,0.0,0.009145444444444444,0.013243600392567901,0,0,0,0,0,0,0,0,0,0,0,1.25,824.7777777777778,0,0,0,0,0,0,0,0,0,0,0,0,3969.0,4.0,0,382222.6502311248073959938367,701.5,923.4,0,8,10,5612,9234
10.0.2.15,192.168.160.42,55736,53,17,2024-05-20 01:59:35,0.004004,60189.810189810196,749.2507492507493,499.50049950049953,249.75024975024976,2,1,150,91,75,75,75.0,0.0,91,91,91.0,0.0,91,75,80.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.002002,0.004004,0.0,0.002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,80.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,91.0,0,2,1,150,91
10.0.2.15,192.168.160.42,61505,53,17,2024-05-20 01:59:35,0.01406,20056.899004267427,213.37126600284495,142.2475106685633,71.12375533428165,2,1,150,132,75,75,75.0,0.0,132,132,132.0,0.0,132,75,94.0,26.870057685088806,722.0,40,20,20,2,0.00703,0.01406,0.0,0.00703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,132.0,0,2,1,150,132
10.0.2.15,172.217.166.131,64859,443,17,2024-05-20 01:59:35,0.175446,98132.75879757875,165.29302463436045,85.4963920522554,79.79663258210503,15,14,6510,10707,1292,74,434.0,526.6163689062466,1292,66,764.7857142857143,570.4345684991185,1292,66,593.6896551724138,572.5850699300303,327853.66230677767,300,280,20,15,0.006265928571428571,0.044484,0.0,0.01177339702139826,0.13204000000000002,0.047676,0.0,0.009431428571428572,0.013750492280612491,0.150972,0.049839,0.0,0.011613230769230768,0.017841571132756417,0,0,0,0,0,0,0,0,0,0,0,0.9333333333333333,593.6896551724138,0,0,0,0,0,0,0,0,0,0,403.0,4.5,3784.0,4.0,82455.24296675191815856777494,0,434.0,764.7857142857143,0,15,14,6510,10707
10.0.2.15,192.168.160.42,52090,53,17,2024-05-20 01:59:35,0.0,0,0,0,0,2,0,152,0,76,76,76.0,0.0,0,0,0,0.0,76,76,76.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,0,0,2,0,152,0
10.0.2.15,192.168.160.42,56485,53,17,2024-05-20 01:59:35,0.018817,25189.98777701015,159.4303023861402,106.28686825742679,53.143434128713395,2,1,172,302,86,86,86.0,0.0,302,302,302.0,0.0,302,86,158.0,101.82337649086284,10368.0,40,20,20,2,0.0094085,0.018817,0.0,0.0094085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,158.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,302.0,0,2,1,172,302
10.0.2.15,192.168.160.42,54447,53,17,2024-05-20 01:59:35,0.0,0,0,0,0,2,0,172,0,86,86,86.0,0.0,0,0,0,0.0,86,86,86.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,0,0,2,0,172,0
10.0.2.15,192.168.160.42,62459,53,17,2024-05-20 01:59:35,0.015222,17014.846932072003,197.0831690973591,131.3887793982394,65.6943896991197,2,1,162,97,81,81,81.0,0.0,97,97,97.0,0.0,97,81,86.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.007611,0.015222,0.0,0.007611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,86.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,97.0,0,2,1,162,97
10.0.2.15,192.168.160.42,59150,53,17,2024-05-20 01:59:35,0.014528,20649.77973568282,206.49779735682822,137.66519823788548,68.83259911894274,2,1,162,138,81,81,81.0,0.0,138,138,138.0,0.0,138,81,100.0,26.870057685088806,722.0,40,20,20,2,0.007264,0.014528,0.0,0.007264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,138.0,0,2,1,162,138
10.0.2.15,142.251.223.67,53834,443,17,2024-05-20 01:59:35,0.299977,61998.086519966535,100.00766725448952,50.00383362724476,50.00383362724476,15,15,7909,10689,1292,73,527.2666666666667,559.0494869766798,1292,66,712.6,532.702268313799,1292,66,619.9333333333333,553.8421515999743,306741.1288888889,300,300,20,15,0.010344034482758623,0.155403,0.0,0.028804422645912008,0.26098699999999997,0.156101,0.0,0.01864192857142857,0.03931712605843537,0.275787,0.163748,0.0,0.01969907142857143,0.041782521608005774,0,0,0,0,0,0,0,0,0,0,0,1.0,619.9333333333333,0,0,0,0,0,0,0,0,0,0,2070.0,5.0,0,0,214086.2550418864412038473472,0,527.2666666666667,712.6,0,15,15,7909,10689
10.0.2.15,172.217.26.78,59564,443,17,2024-05-20 01:59:35,0.139972,119381.01906095503,192.89572200154313,92.87571800074299,100.02000400080016,13,14,6308,10402,1292,73,485.2307692307692,545.9409877726506,1292,66,743.0,549.5426670033391,1292,66,618.8888888888889,562.7485020355095,316685.87654320995,260,280,20,13,0.005383538461538462,0.045171,0.0,0.010374395771953955,0.094801,0.02944,0.0,0.007900083333333332,0.009710774741306117,0.117226,0.04771,0.0,0.009017384615384615,0.01457625040704893,0,0,0,0,0,0,0,0,0,0,0,1.0769230769230769,618.8888888888889,0,0,0,0,0,0,0,0,0,0,665.0,6.0,2476.5,4.0,54877.04241624030368047532596,187421.9548189351799296174367,485.2307692307692,743.0,0,13,14,6308,10402
10.0.2.15,192.168.10.2,54776,53,17,2024-05-20 01:59:36,0.0,0,0,0,0,2,0,214,0,107,107,107.0,0.0,0,0,0,0.0,107,107,107.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.0,0,0,2,0,214,0
